again	vacaciones
although	año
appropriate	ante
appropriate	apropiado
appropriate	para
assassinated	asesinado
been	televisión
course	curso
debate	debate
debate	este
declare	declaro
difficult	difícil
european	europea
european	europeo
explosions	explosiones
hope	europeo
kumar	kumar
lanka	lanka
lankan	lanka
madam	extremadamente
materialise	naturales
materialise	varios
minute	minuto
natural	naturales
parliament	para
parliament	parlamento
part	para
period	período
pleasant	pasado
point	presidenta
point	procedimiento
ponnambalam	ponnambalam
possibly	posible
president	extremadamente
president	presidenta
president	presidente
president	procedimiento
press	prensa
recently	recientemente
reconciliation	reconciliación
regret	extremadamente
regret	presidenta
regret	presidente
requested	este
seen	verdaderamente
series	catástrofes
series	terribles
session	sesiones
silence	silencio
situation	situación
storms	tormentas
television	televisión
union	unión
victims	víctimas
violent	violentas
visited	visitó
were	terribles
were	verdaderamente
write	presidente
year	declaro
